order_id,customer_id,product_id,order_date,order_timestamp,quantity,unit_price,discount_amount,order_status,payment_method,_ingestion_timestamp
ORD-00001,CUST-1061,PROD-107,2024-02-04,2024-02-04 05:00:00,1,197.44,0,CONFIRMED,bank_transfer,2024-02-04 08:26:00
ORD-00002,CUST-1025,PROD-112,2024-02-14,2024-02-14 09:00:00,2,119.22,25,SHIPPED,Debit_Card,2024-02-14 12:35:00
ORD-00003,CUST-1043,PROD-100,2024-01-09,2024-01-09 08:00:00,5,205.83,10,PENDING,Debit_Card,2024-01-09 09:34:00
ORD-00004,CUST-1045,PROD-123,2024-01-23,2024-01-23 18:00:00,1,63.11,5,SHIPPED,bank_transfer,2024-01-23 19:12:00
ORD-00005,CUST-1033,PROD-101,2024-03-18,2024-03-18 16:00:00,4,450.75,0,DELIVERED,credit_card,2024-03-18 16:34:00
ORD-00006,CUST-1086,PROD-129,2024-03-07,2024-03-07 17:00:00,2,188.46,0,SHIPPED,Debit_Card,2024-03-07 20:00:00
ORD-00007,CUST-1053,PROD-110,2024-03-25,2024-03-25 03:00:00,3,258.48,25,DELIVERED,Debit_Card,2024-03-25 06:09:00
ORD-00008,CUST-1087,PROD-123,2024-03-11,2024-03-11 04:00:00,4,335.81,5,CONFIRMED,Debit_Card,2024-03-11 04:54:00
ORD-00009,CUST-1056,PROD-125,2024-02-21,2024-02-21 17:00:00,1,158.89,0,CANCELLED,Debit_Card,2024-02-21 20:38:00
ORD-00010,CUST-1022,PROD-121,2024-02-29,2024-02-29 14:00:00,2,260.47,25,PENDING,Debit_Card,2024-02-29 15:58:00
ORD-00011,CUST-1087,PROD-109,2024-03-06,2024-03-06 21:00:00,5,174.23,0,CONFIRMED,PayPal,2024-03-06 23:47:00
ORD-00012,CUST-1099,PROD-102,2024-01-19,2024-01-19 00:00:00,2,492.12,10,DELIVERED,bank_transfer,2024-01-19 00:16:00
ORD-00013,CUST-1019,PROD-120,2024-03-21,2024-03-21 18:00:00,4,252.23,0,PENDING,credit_card,2024-03-21 18:54:00
ORD-00014,CUST-1032,PROD-129,2024-02-24,2024-02-24 07:00:00,5,237.62,10,PENDING,bank_transfer,2024-02-24 07:50:00
ORD-00015,CUST-1041,PROD-124,2024-01-18,2024-01-18 14:00:00,5,494.06,10,DELIVERED,bank_transfer,2024-01-18 16:55:00
ORD-00016,CUST-1058,PROD-108,2024-03-11,2024-03-11 14:00:00,2,374.38,5,CONFIRMED,Debit_Card,2024-03-11 17:54:00
ORD-00017,CUST-1092,PROD-109,2024-03-07,2024-03-07 15:00:00,2,144.54,0,CONFIRMED,Debit_Card,2024-03-07 17:45:00
ORD-00018,CUST-1030,PROD-112,2024-02-12,2024-02-12 10:00:00,5,49.47,0,CONFIRMED,PayPal,2024-02-12 13:53:00
ORD-00019,CUST-1008,PROD-106,2024-01-09,2024-01-09 13:00:00,3,275.87,5,DELIVERED,bank_transfer,2024-01-09 14:49:00
ORD-00020,CUST-1046,PROD-109,2024-03-15,2024-03-15 22:00:00,5,196.38,0,DELIVERED,bank_transfer,2024-03-15 22:10:00
ORD-00021,CUST-1063,PROD-107,2024-03-09,2024-03-09 23:00:00,5,401.93,0,SHIPPED,bank_transfer,2024-03-10 02:13:00
ORD-00022,CUST-1093,PROD-105,2024-03-03,2024-03-03 00:00:00,3,337.74,5,DELIVERED,PayPal,2024-03-03 01:44:00
ORD-00023,CUST-1004,PROD-102,2024-03-20,2024-03-20 17:00:00,4,300.02,25,DELIVERED,PayPal,2024-03-20 17:11:00
ORD-00024,CUST-1059,PROD-110,2024-02-29,2024-02-29 05:00:00,3,195.75,0,SHIPPED,bank_transfer,2024-02-29 05:17:00
ORD-00025,CUST-1070,PROD-101,2024-02-05,2024-02-05 13:00:00,1,240.44,25,SHIPPED,PayPal,2024-02-05 14:09:00
ORD-00026,CUST-1026,PROD-126,2024-03-24,2024-03-24 02:00:00,1,379.56,0,PENDING,PayPal,2024-03-24 05:24:00
ORD-00027,CUST-1060,PROD-122,2024-01-31,2024-01-31 04:00:00,1,286.34,0,SHIPPED,Debit_Card,2024-01-31 06:06:00
ORD-00028,CUST-1040,PROD-103,2024-01-22,2024-01-22 19:00:00,1,391.11,0,CANCELLED,credit_card,2024-01-22 21:40:00
ORD-00029,CUST-1026,PROD-102,2024-02-09,2024-02-09 18:00:00,4,204.35,25,CANCELLED,PayPal,2024-02-09 20:58:00
ORD-00030,CUST-1016,PROD-125,2024-01-14,2024-01-14 22:00:00,3,426.63,10,CANCELLED,credit_card,2024-01-15 01:22:00
ORD-00031,CUST-1044,PROD-100,2024-02-14,2024-02-14 17:00:00,3,43.78,25,DELIVERED,bank_transfer,2024-02-14 18:54:00
ORD-00032,CUST-1023,PROD-123,2024-01-14,2024-01-14 13:00:00,4,356.57,5,CANCELLED,Debit_Card,2024-01-14 14:37:00
